iter	RMSE
0	7.192415562
1	6.662219437
2	6.216567771
3	5.813143216
4	5.42440723
5	5.095837483
6	4.867773916
7	4.55349386
8	4.269680783
9	4.029544637
10	3.802339075
11	3.589274398
12	3.371058359
13	3.154531301
14	2.97337953
15	2.796484435
16	2.720084288
17	2.550038106
18	2.404178455
19	2.270314429
20	2.137556733
21	2.031447351
22	1.939901843
23	1.833599063
24	1.754743313
25	1.666885182
26	1.571443995
27	1.486362004
28	1.414863762
29	1.342170286
30	1.288599207
31	1.240248726
32	1.196913907
33	1.157987543
34	1.122959065
35	1.07817629
36	1.043463707
37	0.997970435
38	0.9623736636
39	0.9239746679
40	0.8933416274
41	0.8614621237
42	0.8369006002
43	0.8044707621
44	0.782037672
45	0.751666828
46	0.7233805152
47	0.6963005611
48	0.6704567864
49	0.6456888385
50	0.6214559011
51	0.5982736129
52	0.5762344452
53	0.5542822883
54	0.5339909323
55	0.5138304969
56	0.494540105
57	0.4766927146
58	0.4593683742
59	0.4426872538
60	0.426865936
61	0.4117214029
62	0.3970860545
63	0.3830887174
64	0.3690875016
65	0.356241447
66	0.3439593048
67	0.3322181886
68	0.3209963314
69	0.3102730119
70	0.3000284853
71	0.2899435724
72	0.2805580927
73	0.2713233286
74	0.2619315936
75	0.2534263962
76	0.2453207383
77	0.2355776602
78	0.2263080802
79	0.2174868378
80	0.2090904253
81	0.2011812302
82	0.1948203009
83	0.1886976665
84	0.1818556923
85	0.1750131137
86	0.1695965301
87	0.1639064494
88	0.1578919305
89	0.1521579256
90	0.1466907158
91	0.1414774869
92	0.1365062511
93	0.1313001686
94	0.126349283
95	0.1219513368
96	0.11741433
97	0.1134946863
98	0.1095668836
99	0.1055376813
100	0.1019208399
101	0.09857116446
102	0.09508288199
103	0.09164894331
104	0.08872430711
105	0.08584626075
106	0.0831543067
107	0.08059573516
108	0.07816422971
109	0.07554580143
110	0.07288952528
111	0.07061066053
112	0.06833015712
113	0.0667777475
114	0.06530750682
115	0.06308749749
116	0.0609842547
117	0.05922734698
118	0.0575640691
119	0.05566269841
120	0.05388789278
121	0.05224133041
122	0.05065571343
123	0.04904252398
124	0.04757782578
125	0.04642254036
126	0.04468510845
127	0.04330763852
128	0.04199816225
129	0.04090222655
130	0.03940453792
131	0.03798303861
132	0.03663391535
133	0.03535358516
134	0.0341386778
135	0.03300527577
136	0.03189293948
137	0.03084781142
138	0.02982996263
139	0.02886655751
140	0.02793579081
141	0.02748612787
142	0.02661560974
143	0.02577786618
144	0.02538478465
145	0.02460334372
146	0.02384368077
147	0.02316681004
148	0.02285737561
149	0.0225695187
150	0.02230155644
151	0.02205199263
152	0.0218194861
153	0.02160282557
154	0.02140090958
155	0.02074069647
156	0.02055813098
157	0.01993688136
158	0.0197717772
159	0.01912095711
160	0.01846521388
161	0.01789141062
162	0.01728991779
163	0.01676157013
164	0.01616471487
165	0.01567656958
166	0.01518346085
167	0.01471526046
168	0.01422030311
169	0.01376597229
170	0.0133707557
171	0.01299703048
172	0.01264370933
173	0.01230976949
174	0.01199424672
175	0.01169622995
176	0.01138950593
177	0.01110447535
178	0.01074458871
179	0.01045536284
180	0.01011233623
181	0.00985993825
182	0.009637285068
183	0.009414207752
184	0.009106926783
185	0.008894677943
186	0.008707201568
187	0.008518208827
188	0.008245524814
189	0.008073495249
190	0.00782072594
191	0.007664184033
192	0.007439615495
193	0.007227393665
194	0.007047196536
195	0.006852860033
196	0.006647887633
197	0.006454609694
198	0.006258267623
199	0.00608347073
200	0.005910024385
201	0.005742924325
202	0.005598357012
203	0.005459547083
204	0.005313817298
205	0.005168194236
206	0.005054275207
207	0.004948260823
208	0.004844744036
209	0.004751450734
210	0.00466431838
211	0.004573553742
212	0.004454973027
213	0.004357733573
214	0.004248026455
215	0.004145247788
216	0.004051476206
217	0.003965105428
218	0.0038697958
219	0.003800409018
220	0.003711408298
221	0.003647115523
222	0.003563798494
223	0.003504010988
224	0.003409207469
225	0.003353398964
226	0.003301304845
227	0.003229626367
228	0.003183321167
229	0.003093248284
230	0.003049906318
231	0.003009461152
232	0.002923396049
233	0.002872767421
234	0.002836703432
235	0.002782419344
236	0.002750429592
237	0.002668595444
238	0.002599441301
239	0.002553342782
240	0.002518130296
241	0.002441853632
242	0.002407179577
243	0.002382725391
244	0.002311386626
245	0.00227403843
246	0.002245912086
247	0.002177631434
248	0.002111126962
249	0.002055871261
250	0.001994967594
251	0.001944842807
252	0.00188789936
253	0.001852978148
254	0.001820078849
255	0.001766763217
256	0.001727226806
257	0.00169819551
258	0.001668606505
259	0.001644294758
260	0.001594923822
261	0.00156980298
262	0.001523015197
263	0.001476795684
264	0.00144334935
265	0.001401056503
266	0.001370833347
267	0.001331275383
268	0.001294121251
269	0.001266105147
270	0.001231155596
271	0.001206464073
272	0.00118801794
273	0.00116599249
274	0.001133307866
275	0.001110637602
276	0.001079771736
277	0.001064009756
278	0.001045461408
279	0.001016294179
280	0.0009908151693
281	0.0009771022292
282	0.0009535413032
283	0.0009357049263
284	0.0009086980462
285	0.0008816511831
286	0.0008559856633
287	0.0008325616273
288	0.000816425557
289	0.0007928137306
290	0.0007703213904
291	0.0007592129178
292	0.0007377663409
293	0.0007272966967
294	0.0007067186998
295	0.0006968470989
296	0.0006772587227
297	0.0006613011703
298	0.0006465836436
299	0.0006284355456
